Question,Answer
"Are supply chain agreements between CSPs and CSCs reviewed at least annually?
","Supply chain agreements between CSPs and CSCs are reviewed and updated at least annually. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes.

See STA-01.1"
"Is there a process for conducting internal assessments at least annually to
confirm the conformance and effectiveness of standards, policies, procedures,
and SLA activities?
","Internal quarterly reviews/assessments are conducted at the business unit level and reported to management for review and approval.

See STA-01.1"
"Are policies that require all supply chain CSPs to comply with information
security, confidentiality, access control, privacy, audit, personnel policy, and
service level requirements and standards implemented?
","IBM, as required by the ISMS, exercise due diligence in monitoring suppliers and partners to ensure that they meet the required service levels and standards. This includes setting and monitoring SLAs, validating certifications such as ISO27001, as well as reviews and audits. IBM enlists qualified independent third-parties to perform penetration testing at least annually.  The qualifications of such third-parties are assessed by IBM Corporate and sign supplier data processing agreements.

See STA-01.1 for supplier agreement information."
"Are supply chain partner IT governance policies and procedures reviewed periodically?
",See STA-01.1
"Is a process to conduct periodic security assessments for all supply chain
organizations defined and implemented?
","IBM Cloud has agreements with key third party suppliers with defined expectations and implements relationship management tools where applicable with third-party suppliers.  These management mechanisms include frequent validation that the supplier is meeting the expectations as defined in agreements.

IBM Cloud IaaS supplier management processes are validated by external auditors as part of compliance with SOC and ISO27001.

See STA-01.1"
"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained to identify, report, and prioritize the remediation
of vulnerabilities to protect systems against vulnerability exploitation?
","IBM's internal standards and processes, as well as the IBM services ISMS/PIMS, require several network vulnerability scans per month, with daily test updates and monthly policy reviews/updates to ensure that testing remains current with the ever-changing threat landscape.

At least once a year, executive management evaluates, modifies, and approves these rules and standards.

The security and dependability of the products are enhanced by static and dynamic code analysis.

IBM's Security, Asset & Risk Management (SARM), which offers security advisory alert information and response timeframes, is also referenced by IBM's internal standards.

IBM services use endpoint management tools to monitor all components of the offering's architecture and ensure timely application of security patches.

Both forms of network vulnerability detection and security advice management contain priority based on an industry-standard risk assessment, with additional prioritization based on the business requirements of the respective products.

Changes to the systems and software of IBM services are managed with stringent change management, resulting in auditable evidence.

Internal penetration testing (PenTesting) is conducted, and external (3rd party) PenTesting is necessary annually or whenever substantial changes occur.

PenTest reports are reviewed by the appropriate offering management levels, and the entire repair process is scrupulously maintained.

Clients can access information regarding these processes upon request. "
"Are threat and vulnerability management policies and procedures reviewed and
updated at least annually?
",See TVM-01.1 above.
"Are policies and procedures to protect against malware on managed assets established,
documented, approved, communicated, applied, evaluated, and maintained?
","As part of IBM's standard end-point management policy, processes, and procedures, malware detection and prevention capabilities are implemented on IBM-owned and IBM-managed BYOD used to perform IBM business and/or client business.

In addition, networking devices utilize same rule sets and settings, as well as change management controls tools and/or configuration changes. "
"Are asset management and malware protection policies and procedures reviewed
and updated at least annually?
","At least once a year, every policy, process, and procedure is evaluated.

In accordance with the document change controls, management review and approval are required when required. "
"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable scheduled and emergency responses to vulnerability identifications
(based on the identified risk)?
","All IBM services adhere to the process, procedures, and technical controls outlined in IBM's guidance on vulnerability management.

The break glass scenario is used for emergency response, and IBM mandates all IBM services to establish and maintain a standardized runbook that best suits their deployment and outlines the needed implementation processes for the break glass scenario. 
                                       "
"Are processes, procedures, and technical measures defined, implemented, and
evaluated to update detection tools, threat signatures, and compromise indicators
weekly (or more frequent) basis?
","IBM's endpoint security agents are required on all workstations (desktops and laptops) and mobile devices that connect to the IBM network or being used for IBM business, regardless of ownership.

IBM endpoint security agents enforce a set of security controls and ensures all required packages are installed and up to date.

Violations of policy are escalated via line management until the issue is resolved."
"Are processes, procedures, and technical measures defined, implemented, and
evaluated to identify updates for applications that use third-party or open-source
libraries (according to the organization's vulnerability management policy)?
","The IBM X-Force® team collects, categorizes, and distributes threat and security alerts from IBM, vendors, government and industry sources, third-party, and open-source providers.

(https://exchange.xforce.ibmcloud.com/search/%23advisory) 

Also see TVM-01.1 above. "
"Are processes, procedures, and technical measures defined, implemented, and
evaluated for periodic, independent, third-party penetration testing?
",See TVM-01.1 above.
"Are processes, procedures, and technical measures defined, implemented, and
evaluated for vulnerability detection on organizationally managed assets at least
monthly?
",See TVM-01.1 above.
"Is vulnerability remediation prioritized using a risk-based model from an
industry-recognized framework?
","IBM's vulnerability remediation is based on and complies with a number of industry-recognized frameworks, including but not limited to NIST, FedRAMP, SOC2, and other standards.                                                    "
"Is a process defined and implemented to track and report vulnerability identification
and remediation activities that include stakeholder notification?
","The IBM Cloud platform status page https://cloud.ibm.com/status is used for all client notifications including ""general"" security related notifications.  Security notifications point to IBM security bulletins published per the IBM Product Security Incident Response Team (PSIRT) (https://www.ibm.com/security/secure-engineering/process.html) process. 

See TVM-01.1 response"
"Are metrics for vulnerability identification and remediation established,
monitored, and reported at defined intervals?
",See TVM-01.1 above.
"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for all endpoints?
","IBM's corporate policies, standards, procedures, and tools assist in mitigating the risk of unauthorized software on endpoints (servers, workstations, laptops, mobile devices, and BYOD).
Endpoint detection and response tools lower the risk of malware, improper use of assets, hacking, and attacks from any source, whether internal or external.

Documented directives, rules, and processes/procedures are evaluated, modified as necessary, authorized by upper management, and made available to all IBM employees for mandatory training. 

At least annually, every policy, process, and procedure is evaluated, verified and validated. 

When required by the document change controls, management review and approval are necessary. "
"Are universal endpoint management policies and procedures reviewed and updated
at least annually?
",See UEM-01.1 above. 
"Is there a defined, documented, applicable and evaluated list containing approved
services, applications, and the sources of applications (stores) acceptable for
use by endpoints when accessing or storing organization-managed data?
","IBM services maintain a unique policies governing the usage of permitted applications/services/storage inventory for handling confidential or other sensitive information and data.
There is a matrix that specifies the required tools and measures for the various classification and sensitivity levels of data.

Also see UEM-01.1 response."
"Is a process defined and implemented to validate endpoint device compatibility
with operating systems and applications?
",The IBM Endpoint Detection and Response documentation described the operating systems and applications within and beyond the scope of protection.
"Is an inventory of all endpoints used and maintained to store and access company
data?
","As indicated in UEM-02.1 above, the classification and ownership of endpoints (servers, services, applications, etc.) for the storage and processing of IBM and customer information are clearly marked in an inventory. "
"Are processes, procedures, and technical measures defined, implemented and
evaluated, to enforce policies and controls for all endpoints permitted to access
systems and/or store, transmit, or process organizational data?
",See UEM-01.1 and UEM-02.1 above.
"Are all relevant interactive-use endpoints configured to require an automatic
lock screen?
","This is a fundamental policy and standard of IBM.
On the level of the operating system, it is necessary to deploy software that verifies, among other things, the presence of an automatic lock screen that obscures any potentially sensitive information.
Many of IBM's products and services (if applicable) also include application-level lock screens that log the user out and end network sessions. "
"Are changes to endpoint operating systems, patch levels, and/or applications
managed through the organizational change management process?
","Changes to an IBM service, including its systems, networks, and underlying components, and other endpoints, are documented in a registered change request that includes a description and reason for the change, implementation details and schedule, a risk statement addressing impact to the IBM service and its clients, expected outcome, rollback plan, and documented approval from authorized management.

The ISMS/PIMS-defined and evaluated change management procedure includes the requirement for a back-out strategy in all instances.
Changes are initially implemented in a staging area, where regression tests are conducted to analyze the change's impact.

Emergency change procedures exist to handle critical vulnerabilities, threats, or failures affecting the Confidelntiality, Integrity, and Availabilty (CIA) or security of an IBM service. "
"Is information protected from unauthorized disclosure on managed endpoints
with storage encryption?
","As a requirement of IBM Services, Confidential or Sensitive data or data of a regulated type must be encrypted during transmission, processing, and storage.


See the CEK controls listed above. "
"Are anti-malware detection and prevention technology services configured on
managed endpoints?
",See UEM-01.1 above.
"Are software firewalls configured on managed endpoints?
",See UEM-01.1 above.
"Are managed endpoints configured with data loss prevention (DLP) technologies
and rules per a risk assessment?
","This will depend on the specific product or service offering.  
                                                                                                                                            Please see IBM Data Security and Privacy Principle:                                     https://www.ibm.com/support/customer/csol/terms?id=Z126-7745&lc=en#detail-document"
"Are remote geolocation capabilities enabled for all managed mobile endpoints?
","All mobile devices (i.e., phones, tablets, etc.) with access to IBM's assets, including confidential or sensitive data, must install the tools defined in UEM-01.1.
This software provides remote activation of security services, such as remote wipe, software updates, and device geolocation"
"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable remote company data deletion on managed endpoint devices?
",See UEM-12.1 above.
"Are processes, procedures, and technical and/or contractual measures defined,
implemented, and evaluated to maintain proper security of third-party endpoints
with access to organizational assets?
","Any device or endpoint with access to IBM assets, whether systems, networks, or data, must adhere to the same rules as IBM-owned devices and endpoints, per IBM policy.
This is mandated by formal contracts and enforced by a variety of technical techniques. "
,
